configName      CASE187
iniFile         omnet_CASE7.ini
processID       8935
runID           CASE187-0-20220325-13:01:23-8935
totalRun        1
currentRun      0
currentConfig   CASE187
sim timeStep    100 ms
startDateTime   2022-03-25 13:01:23.344
endDateTime     2022-03-25 13:01:32.344
duration        0 hour, 0 minute, 8 second


timeStep    vehId          fromState                     toState                       commandSent    receiverId     senderPltId    receiverPltId    maneuverStartEnd 


0.00        veh            state_idle                    state_platoonLeader           -              -              -              -                -                

0.00        veh.1          state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh.2          state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh.3          state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh.4          state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh1           state_idle                    state_platoonLeader           -              -              -              -                -                

0.00        veh1.1         state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh1.2         state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh1.3         state_idle                    state_platoonFollower         -              -              -              -                -                

0.00        veh            state_platoonLeader           state_sendSplitReq            -              -              -              -                -                
0.00        veh            state_sendSplitReq            state_waitForSplitReply       SPLIT_REQ      veh.4          veh            veh              -                

0.06        veh.4          state_platoonFollower         state_waitForCHANGEPL         SPLIT_ACCEPT   veh            veh            veh              -                

0.13        veh            state_waitForSplitReply       state_makeItFreeAgent         -              -              -              -                Split_Start      
0.13        veh            state_makeItFreeAgent         state_waitForAck              CHANGE_PL      veh.4          veh            veh              -                

0.20        veh.4          state_waitForCHANGEPL         state_sendingACK              -              -              -              -                -                
0.20        veh.4          state_sendingACK              state_waitForSplitDone        ACK            veh            veh.4          veh.4            -                

0.27        veh            state_waitForAck              state_splitDone               -              -              -              -                -                
0.27        veh            state_splitDone               state_platoonLeader           CHANGE_Tg      multicast      veh            veh              -                
0.27        veh            state_splitDone               state_platoonLeader           SPLIT_DONE     veh.4          veh            veh              -                

0.30        veh.4          state_waitForSplitDone        state_waitForGap              -              -              -              -                -                

0.90        veh.4          state_waitForGap              state_platoonLeader           GAP_CREATED    veh            veh.4          veh              Split_End        

65.00       veh            state_platoonLeader           state_sendSplitReq            -              -              -              -                -                
65.00       veh            state_sendSplitReq            state_waitForSplitReply       SPLIT_REQ      veh.2          veh            veh              -                

65.09       veh.2          state_platoonFollower         state_waitForCHANGEPL         SPLIT_ACCEPT   veh            veh            veh              -                

65.10       veh            state_waitForSplitReply       state_makeItFreeAgent         -              -              -              -                Split_Start      
65.10       veh            state_makeItFreeAgent         state_waitForAck              CHANGE_PL      veh.2          veh            veh              -                

65.11       veh.2          state_waitForCHANGEPL         state_sendingACK              -              -              -              -                -                
65.11       veh.2          state_sendingACK              state_waitForSplitDone        ACK            veh            veh.2          veh.2            -                

65.17       veh            state_waitForAck              state_changePL                -              -              -              -                -                
65.17       veh            state_changePL                state_waitForAllAcks2         CHANGE_PL      veh.3          veh            veh              -                

65.19       veh.3          state_platoonFollower         state_platoonFollower         ACK            veh            veh.2          veh              -                

65.20       veh            state_waitForAllAcks2         state_splitDone               -              -              -              -                -                
